utt_name,pesq,sdi,stoi,voicemos
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-one.wav,3.3839233,0.54486233,0.8499888,3.5860066
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-seven.wav,3.0761557,0.7699586,0.88726884,3.2568364
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-six.wav,4.07794,0.29240513,0.97730625,2.642236
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-ten.wav,3.159571,0.6916762,0.8141862,3.4101896
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-three.wav,3.6289659,0.4061365,0.8710984,3.0828795
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-twelve.wav,3.385684,0.4142344,0.8844845,2.988427
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-two.wav,3.595157,0.44743302,0.89004606,3.3856301
/Users/iorife/Downloads/sorted-wavs/female_no_diac-ab-ref.wav,3.5451841,0.37831584,0.86118305,3.4535148
/Users/iorife/Downloads/sorted-wavs/female_no_diac-ab-ten.wav,3.7077146,0.31753942,0.9574966,3.4442055
/Users/iorife/Downloads/sorted-wavs/male-Ab-eight.wav,4.618681,0.104420945,0.9978426,3.4365568
/Users/iorife/Downloads/sorted-wavs/male-Ab-eleven.wav,4.0413384,0.5168565,0.9793102,3.4048245
/Users/iorife/Downloads/sorted-wavs/male-Ab-five.wav,4.3815107,0.08145088,0.9972261,3.1259344
/Users/iorife/Downloads/sorted-wavs/male-Ab-four.wav,3.9958677,0.30841467,0.95797324,3.1124854
/Users/iorife/Downloads/sorted-wavs/male-Ab-fourteen.wav,4.154886,0.22587909,0.99023527,3.0374942
/Users/iorife/Downloads/sorted-wavs/male-Ab-nine.wav,4.609881,0.064732015,0.9996654,3.4041758
/Users/iorife/Downloads/sorted-wavs/male-Ab-one.wav,3.7804143,0.40393978,0.93248487,3.2956982
/Users/iorife/Downloads/sorted-wavs/male-Ab-seven.wav,4.478073,0.15061073,0.99883753,3.2796311
/Users/iorife/Downloads/sorted-wavs/male-Ab-six.wav,4.582856,0.058491774,0.99989974,3.528831
/Users/iorife/Downloads/sorted-wavs/male-Ab-thirteen.wav,3.9128604,0.29678997,0.94139457,3.1200922
